cultivar,ciclo,irrigacao,rep,avaliacao,avg_area_f1,avg_area_f2,avg_area_total
CSC 4704,extra_longo,irrigado,2,4,1360.020667,1554.616,2914.636667
CSC 4704,extra_longo,irrigado,2,5,1361.094,1591.796267,2952.890267
CSC 4704,extra_longo,nao_irrigado,2,1,145.0395333,233.9866667,379.0262
CSC 4704,extra_longo,nao_irrigado,2,2,621.2303067,754.99984,1376.230147
CSC 4704,extra_longo,nao_irrigado,2,3,817.1286667,900.6769333,1717.8056
CSC 4704,extra_longo,nao_irrigado,2,4,922.6373333,936.9126667,1859.55
CSC 4704,extra_longo,nao_irrigado,2,5,1038.621733,1165.597067,2204.2188
CSC 416,longo,irrigado,2,1,153.272,216.7918667,370.0638667
CSC 416,longo,irrigado,2,2,641.8104,681.8994,1323.7098
CSC 416,longo,irrigado,2,3,945.6818,962.2605067,1907.942307
CSC 416,longo,irrigado,2,4,1138.27,1167.432467,1926.279133
CSC 416,longo,irrigado,2,5,1190.8365,1250.6319,1627.6456
CSC 416,longo,nao_irrigado,2,1,66.12806667,111.46352,177.5915867
CSC 416,longo,nao_irrigado,2,2,546.3159333,619.37344,1165.689373
CSC 416,longo,nao_irrigado,2,3,704.0852,799.5474667,1503.632667
CSC 416,longo,nao_irrigado,2,4,830.0516,929.5066667,1759.558267
CSC 416,longo,nao_irrigado,2,5,1143.754733,1179.303533,2323.058267
CSC 447,longo,irrigado,2,1,75.29433333,128.3814,203.6757333
CSC 447,longo,irrigado,2,2,490.3738,568.974,1059.3478
CSC 447,longo,irrigado,2,3,756.72576,706.3864267,1463.112187
CSC 447,longo,irrigado,2,4,924.784,961.9857333,1886.769733
CSC 447,longo,irrigado,2,5,982.905,1080.7125,1703.38
CSC 447,longo,nao_irrigado,2,1,112.8288,182.20048,295.02928
CSC 447,longo,nao_irrigado,2,2,533.8974667,651.0754133,1184.97288
CSC 447,longo,nao_irrigado,2,3,637.56,754.9719333,1392.531933
CSC 447,longo,nao_irrigado,2,4,721.7415333,880.5497867,1602.29132
CSC 447,longo,nao_irrigado,2,5,965.1842667,1053.498133,2018.6824
CSC 439,longo,irrigado,2,1,64.078,98.7896,162.8676
CSC 439,longo,irrigado,2,2,523.10832,617.7462667,1140.854587
CSC 439,longo,irrigado,2,3,857.2713333,933.8085867,1791.07992
CSC 439,longo,irrigado,2,4,1171.972667,1044.0528,2216.025467
CSC 439,longo,irrigado,2,5,1177.661333,1129.415,1930.604667
CSC 439,longo,nao_irrigado,2,1,217.0322933,166.1477067,383.18
CSC 439,longo,nao_irrigado,2,2,665.35504,669.23192,1334.58696
CSC 439,longo,nao_irrigado,2,3,807.0822667,747.2761333,1554.3584
CSC 439,longo,nao_irrigado,2,4,886.466,821.3146667,1707.780667
CSC 439,longo,nao_irrigado,2,5,1005.928,884.5984,1300.794133
CSC 4703,extra_longo,irrigado,2,1,146.0956933,180.5990667,326.69476
CSC 4703,extra_longo,irrigado,2,2,845.7974,716.5036667,1562.301067
CSC 4703,extra_longo,irrigado,2,3,1215.13784,1135.524413,2350.662253
CSC 4703,extra_longo,irrigado,2,4,1465.636667,1399.09,2864.726667
CSC 4703,extra_longo,irrigado,2,5,1517.371333,1527.3104,3044.681733
CSC 4703,extra_longo,nao_irrigado,2,1,99.76633333,163.13808,262.9044133
CSC 4703,extra_longo,nao_irrigado,2,2,668.5900667,761.92928,1430.519347
CSC 4703,extra_longo,nao_irrigado,2,3,996.8583333,951.188,1948.046333
CSC 4703,extra_longo,nao_irrigado,2,4,1134.996333,1097.805333,2232.801667
CSC 4703,extra_longo,nao_irrigado,2,5,1292.454333,1347.484133,2639.938467
CSC 4304,longo,irrigado,2,1,168.18704,240.7937467,408.9807867
CSC 4304,longo,irrigado,2,2,768.3993333,963.8533333,1732.252667
CSC 4304,longo,irrigado,2,3,1122.67232,1418.96384,2541.63616
CSC 4304,longo,irrigado,2,4,1387.283333,1797.833333,3185.116667
CSC 4304,longo,irrigado,2,5,1442.538533,1850.5662,3293.104733
CSC 4304,longo,nao_irrigado,2,1,153.5403333,253.736,407.2763333
CSC 4304,longo,nao_irrigado,2,2,663.7922667,767.5943333,1431.3866
CSC 4304,longo,nao_irrigado,2,3,788.9,871.9545333,1660.854533
CSC 4304,longo,nao_irrigado,2,4,863.1746667,948.29,1811.464667
CSC 4304,longo,nao_irrigado,2,5,1066.464,1271.470667,1982.446667
CSC 497,medio,irrigado,2,1,99.43574667,205.0174,304.4531467
CSC 497,medio,irrigado,2,2,746.1276667,888.5804667,1634.708133
CSC 497,medio,irrigado,2,3,953.3776,1088.119573,2041.497173
CSC 497,medio,irrigado,2,4,1113.154,1244.852,2358.006
CSC 497,medio,irrigado,2,5,1131.293333,1314.768933,2446.062267
CSC 497,medio,nao_irrigado,2,1,81.627,92.8648,174.4918
CSC 497,medio,nao_irrigado,2,2,460.8571333,520.5452,981.4023333
CSC 497,medio,nao_irrigado,2,3,611.2676267,677.9602667,1289.227893
CSC 497,medio,nao_irrigado,2,4,711.3946,784.0163333,1495.410933
CSC 497,medio,nao_irrigado,2,5,772.1323867,915.7197,1382.612187
CSC 4707,longo,irrigado,2,1,231.2604,288.5012667,519.7616667
CSC 4707,longo,irrigado,2,2,815.787,811.4829333,1627.269933
CSC 4707,longo,irrigado,2,3,1145.336827,1098.421427,2243.758253
CSC 4707,longo,irrigado,2,4,1369.734333,1347.355333,2717.089667
CSC 4707,longo,irrigado,2,5,1444.062667,1526.602,2461.797333
CSC 4707,longo,nao_irrigado,2,1,178.0187733,244.3765333,422.3953067
CSC 4707,longo,nao_irrigado,2,2,622.0438933,657.8030667,1279.84696
CSC 4707,longo,nao_irrigado,2,3,783.2220667,797.1968667,1580.418933
CSC 4707,longo,nao_irrigado,2,4,918.1293333,906.9666667,1825.096
CSC 4707,longo,nao_irrigado,2,5,1206.287133,1231.435333,2437.722467
CSC 4501,longo,irrigado,2,1,212.5629333,289.3492,501.9121333
CSC 4501,longo,irrigado,2,2,718.1909467,918.1679733,1636.35892
CSC 4501,longo,irrigado,2,3,1031.318773,1296.318333,2327.637107
CSC 4501,longo,irrigado,2,4,1350.253333,1484.312667,2834.566
CSC 4501,longo,irrigado,2,5,1368.929333,1522.984867,2891.9142
CSC 4501,longo,nao_irrigado,2,1,128.9502667,142.5172,271.4674667
CSC 4501,longo,nao_irrigado,2,2,633.1056667,548.6558,1181.761467
CSC 4501,longo,nao_irrigado,2,3,737.65692,647.4132,1385.07012
CSC 4501,longo,nao_irrigado,2,4,864.4626667,754.0274,1618.490067
CSC 4501,longo,nao_irrigado,2,5,1093.619333,1082.564,1815.328667
BAG 06,longo,irrigado,2,1,197.9226667,201.2929333,399.2156
BAG 06,longo,irrigado,2,2,609.9109333,562.8345333,1172.745467
BAG 06,longo,irrigado,2,3,828.3986667,827.73964,1656.138307
BAG 06,longo,irrigado,2,4,1021.813333,952.798,1974.611333
BAG 06,longo,irrigado,2,5,1070.3924,1124.424,1463.210933
BAG 06,longo,nao_irrigado,2,1,93.48733333,143.1268533,236.6141867
BAG 06,longo,nao_irrigado,2,2,443.0033067,546.26656,989.2698667
BAG 06,longo,nao_irrigado,2,3,554.9133333,642.3256,1197.238933
BAG 06,longo,nao_irrigado,2,4,677.8529333,722.0313333,1399.884267
BAG 06,longo,nao_irrigado,2,5,968.6082,1050.364,2018.9722
CSC 4302,medio,irrigado,2,1,159.0894667,162.0304,321.1198667
CSC 4302,medio,irrigado,2,2,499.8191333,591.9004,1091.719533
CSC 4302,medio,irrigado,2,3,582.2082,710.976,1293.1842
CSC 4302,medio,irrigado,2,4,589.2814667,694.8223333,1284.1038
CSC 4302,medio,irrigado,2,5,564.0474,694.8116,839.2393333
CSC 4302,medio,nao_irrigado,2,1,127.19,171.1215333,298.3115333
